Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRG49,OUT035,2205.39592
FDC52,OUT027,3496.41541
FDY13,OUT046,1966.3071399999997
FDY35,OUT013,1477.7763900000002
FDI35,OUT017,2905.0518500000003
NCU18,OUT049,3133.72086
FDY33,OUT018,1944.73522
FDC15,OUT027,3976.4572099999996
FDU01,OUT049,2527.44338
NCU42,OUT046,2584.03638
NCV29,OUT018,2160.6541600000005
NCY30,OUT017,3078.8589400000005
FDQ46,OUT049,2495.28524
FDG58,OUT027,3786.10499
FDK33,OUT017,3053.3255099999997
NCD07,OUT045,1946.49959
NCX29,OUT027,3886.9736900000003
NCT42,OUT013,2401.80692
DRN59,OUT035,2087.41616
FDI44,OUT035,2079.26011
FDA45,OUT049,2360.4940300000003
FDP31,OUT045,1179.96405
FDY01,OUT046,2061.44996
FDT09,OUT018,1651.45032
DRH03,OUT027,3573.3818899999997
FDA36,OUT018,2017.7069
NCF31,OUT017,2758.24295
FDG14,OUT049,2214.05132
FDG28,OUT027,4855.47966
FDU14,OUT049,2542.0576899999996
FDY47,OUT019,300.3090900000001
FDI56,OUT049,2035.51705
DRD01,OUT013,1475.4127999999996
FDM22,OUT046,1536.96601
FDH33,OUT013,2138.2499900000003
DRZ24,OUT013,2554.1086699999996
NCQ38,OUT046,1868.7008600000001
FDO16,OUT027,1933.84939
FDU07,OUT027,4433.562200000001
NCB07,OUT013,2894.13273
FDU48,OUT045,1965.6413399999997
NCM43,OUT045,2549.0485900000003
FDR31,OUT010,367.58818
DRK49,OUT018,1427.60836
NCI30,OUT010,417.05711999999994
DRD60,OUT017,2588.0311800000004
NCG19,OUT046,2820.39538
FDH12,OUT035,1666.8303
FDM32,OUT035,2088.41486
FDM27,OUT035,2763.4694800000007
NCU53,OUT027,4288.2513500000005
NCQ18,OUT046,1772.6924999999999
FDS10,OUT013,3180.8595
FDB33,OUT027,4467.35155
FDI12,OUT013,1926.75862
NCW42,OUT013,2966.5051900000003
NCC06,OUT018,1474.78029
FDW02,OUT017,1933.94926
NCD43,OUT017,1821.8618300000003
FDM57,OUT018,1486.8645599999998
FDA58,OUT017,4082.11967
FDK56,OUT046,2891.6692699999994
FDP52,OUT045,3020.4349899999997
FDW20,OUT018,1697.7234200000003
FDS52,OUT049,1415.3576400000002
NCT29,OUT018,1485.83257
NCL54,OUT013,2871.99488
FDC05,OUT045,2327.70338
FDF34,OUT035,2976.95825
FDP03,OUT027,3439.38964
FDD32,OUT010,242.0183
FDZ10,OUT045,2287.08958
FDZ40,OUT035,1850.1583300000002
FDD51,OUT018,2003.7916800000003
NCY30,OUT019,307.53302
FDP58,OUT017,3108.58691
FDV49,OUT017,3861.60671
FDY24,OUT019,255.30100999999996
NCO55,OUT017,2054.15945
FDR13,OUT017,1968.2712500000002
FDS51,OUT017,1863.2413000000001
FDP26,OUT045,1618.12703
NCB54,OUT027,3802.51696
FDF32,OUT017,3313.453569999999
FDN31,OUT018,2458.5663699999996
DRM48,OUT017,1137.35285
FDN20,OUT049,2914.7392400000003
DRL01,OUT046,2920.5982799999997
FDV56,OUT049,2357.99728
DRH13,OUT027,2785.30772
FDA03,OUT017,2384.6958599999994
FDF47,OUT027,5086.3791
FDX32,OUT046,2220.50958
FDX57,OUT049,1658.10832
NCA30,OUT045,2412.42643
FDO49,OUT013,1202.7344099999998
FDL04,OUT019,292.11975000000007
DRM48,OUT035,1914.10842
FDR16,OUT013,2344.68128
NCC19,OUT018,2462.7942
NCE42,OUT045,3260.35602
FDY24,OUT017,1711.5054799999998
FDH19,OUT049,2189.4500099999996
FDJ46,OUT013,2866.3688700000002
FDN45,OUT010,436.2321599999999
FDY08,OUT035,2202.3332400000004
FDZ37,OUT035,2783.3103200000005
NCT30,OUT045,2091.2445100000004
DRY23,OUT018,654.7810099999999
NCZ30,OUT018,2111.2850900000003
FDC44,OUT018,1847.16223
FDB45,OUT035,2226.33533
FDY04,OUT013,2402.10653
FDM27,OUT046,2522.2834300000004
FDZ43,OUT017,4107.686390000001
FDT39,OUT019,380.37154
NCC06,OUT019,316.95409
FDL15,OUT027,3799.4209899999996
FDL57,OUT017,4440.15362
FDU08,OUT046,1887.44313
FDK40,OUT017,3131.65688
FDQ12,OUT010,418.8880700000001
FDS48,OUT017,1980.3555199999998
FDP09,OUT045,2686.3032600000006
FDW21,OUT049,1663.40143
FDY25,OUT035,2330.1335500000005
DRE13,OUT017,1671.69064
FDV43,OUT019,359.76502999999997
FDD22,OUT045,1774.72319
FDM46,OUT019,364.35905
NCO30,OUT010,309.63029
FDM25,OUT046,2395.08234
NCN41,OUT049,2014.87725
FDU24,OUT045,1734.6087400000004
FDZ50,OUT046,2488.96014
FDP45,OUT013,3184.32166
NCM54,OUT045,2133.15662
FDW10,OUT019,404.04073000000005
FDP20,OUT017,2394.5164099999993
FDK32,OUT046,2416.45452
FDN52,OUT049,1708.70912
FDM58,OUT045,2180.02894
FDZ46,OUT027,3134.8194300000005
NCA18,OUT018,2017.84006
FDD35,OUT046,2246.0097199999996
NCK31,OUT035,1610.9363900000003
FDI40,OUT027,3050.6955999999996
FDT50,OUT019,337.49402
NCT06,OUT046,2333.0630699999997
FDT31,OUT035,2694.19299
FDT45,OUT049,1920.79971
FDT13,OUT045,3628.2105199999996
FDO50,OUT045,1366.38805
NCU18,OUT010,322.74655
NCR54,OUT049,3772.28964
NCO18,OUT018,2102.52982
FDU09,OUT045,1207.82778
FDT13,OUT018,2329.5010399999996
FDE09,OUT046,2071.4702500000003
NCK53,OUT019,368.35385
FDG45,OUT049,2651.2156
DRH15,OUT035,2219.87707
FDO21,OUT019,333.36606000000006
FDD14,OUT027,3803.848560000001
FDC09,OUT046,2033.28662
FDH45,OUT027,2880.55041
FDV32,OUT046,1937.4779999999998
FDG12,OUT035,1606.77514
FDS32,OUT013,2281.9296300000005
NCL55,OUT018,1995.93524
DRE01,OUT035,2199.0042400000007
DRE15,OUT049,1592.09425
NCL42,OUT045,3164.98017
FDP31,OUT013,1616.1962099999996
FDN33,OUT018,1763.00511
FDZ59,OUT046,2913.2411900000006
FDE45,OUT010,373.28077
FDJ07,OUT013,1856.3835600000002
FDQ45,OUT018,2497.8152800000003
FDM33,OUT027,5652.642
FDO15,OUT010,332.16762000000006
FDM46,OUT013,2594.3895700000003
FDR03,OUT045,3012.6784199999997
FDY49,OUT018,1973.7308100000002
FDQ60,OUT045,2358.7962400000006
FDW10,OUT049,2294.4799599999997
FDO51,OUT049,2216.6146500000004
FDJ40,OUT018,1447.74881
FDS20,OUT018,2663.10013
FDU45,OUT013,2163.35065
FDV02,OUT035,2772.35791
FDN09,OUT046,2744.86037
NCM55,OUT027,3471.44791
FDN23,OUT018,2047.76777
FDY31,OUT010,373.28076999999996
FDW03,OUT010,359.13252
FDD14,OUT046,2382.63188
FDV23,OUT017,1862.94169
DRI03,OUT045,2974.4282100000005
FDN13,OUT035,1971.1009
FDF45,OUT027,2899.35926
FDU46,OUT035,1821.6620900000003
FDB57,OUT049,3049.3972900000003
FDV12,OUT049,2184.1901900000003
FDQ58,OUT013,2740.0666100000003
NCA18,OUT017,2154.8949900000007
FDH52,OUT049,1666.06463
FDM24,OUT018,1968.5042799999999
NCP43,OUT027,3687.5000100000007
NCO18,OUT019,307.53302
FDM32,OUT017,2186.88668
NCL07,OUT017,1592.8266300000003
FDK03,OUT013,2573.6499000000003
FDP59,OUT017,2055.6242099999995
FDQ24,OUT049,2170.67445
FDQ16,OUT018,1812.00799
FDU44,OUT013,2914.63937
FDH28,OUT010,282.76526
FDV28,OUT019,292.48594
FDM22,OUT045,991.27633
FDR56,OUT046,2854.78395
FDV39,OUT049,2151.36625
FDU37,OUT019,288.89062000000007
FDQ11,OUT010,580.17812
FDX02,OUT045,2880.0510600000002
NCS42,OUT018,1850.9905800000001
FDY57,OUT027,2577.7112800000004
FDB21,OUT049,3196.70554
FDE28,OUT017,3036.98012
FDQ55,OUT017,2044.2057399999999
FDA48,OUT049,2063.3474899999997
FDZ19,OUT045,2361.39286
NCC43,OUT045,4009.7472100000005
NCV18,OUT046,1525.1147699999997
NCA42,OUT018,2273.9733199999996
FDY45,OUT046,2599.34978
NCC30,OUT045,2867.83363
FDM57,OUT013,1712.1712799999998
FDL09,OUT010,335.16372
FDB09,OUT027,3493.15299
FDT44,OUT035,2185.18889
NCT06,OUT027,4318.711700000001
FDX26,OUT049,2371.8459199999998
FDK32,OUT013,2574.38228
DRA12,OUT046,1671.45761
FDO46,OUT010,347.58089000000007
FDE52,OUT013,2573.6498999999994
NCH42,OUT045,4085.04919
FDV08,OUT035,1811.6750899999995
FDB47,OUT018,2548.54924
FDC28,OUT010,271.24692000000005
FDD22,OUT046,2391.05425
FDS07,OUT027,3335.1919399999997
DRI13,OUT045,2463.4267099999997
FDG32,OUT018,2583.53703
FDU14,OUT017,3427.3719499999997
FDD28,OUT019,242.21804000000003
NCP41,OUT017,1894.1677100000002
FDS08,OUT049,2355.36737
FDX47,OUT045,2245.1774699999996
FDC53,OUT019,284.32989000000003
FDQ19,OUT035,3088.57962
FDL14,OUT045,2562.79736
FDM33,OUT019,456.90524999999997
FDA51,OUT045,1854.6191900000001
FDZ27,OUT018,2120.00707
FDT04,OUT046,1512.6976
DRC13,OUT049,2192.6125599999996
FDR16,OUT027,4769.32514
FDQ03,OUT027,4662.131340000001
FDE38,OUT035,2009.3843999999997
DRH23,OUT027,3004.88856
FDT11,OUT019,494.4230799999999
FDD09,OUT035,2702.0161400000006
FDR40,OUT045,1241.3841
FDX07,OUT017,3696.45502
FDR07,OUT035,2163.0510400000003
FDA51,OUT017,2170.5745799999995
FDT59,OUT019,464.16247000000004
FDF20,OUT017,3090.1442499999994
FDR13,OUT045,1877.9887700000004
FDY26,OUT049,2294.5465400000007
FDW04,OUT017,1871.39735
FDK52,OUT017,3682.5065099999993
FDN60,OUT049,2135.45363
FDM09,OUT019,305.46904000000006
FDP46,OUT049,1942.4715000000003
FDB50,OUT019,271.41337
NCQ29,OUT049,2786.7724800000005
FDP16,OUT027,4287.552260000001
FDX33,OUT018,2377.6716700000006
FDP07,OUT010,401.77700999999996
FDN22,OUT046,2217.4136100000005
FDF39,OUT049,2309.2607199999998
FDS21,OUT017,1627.8810000000003
NCM42,OUT013,1863.1414300000001
FDK50,OUT019,440.55986
DRF13,OUT027,3865.3019
FDH35,OUT018,1867.3692600000002
FDP60,OUT018,1542.8583399999998
DRJ49,OUT027,3727.048530000001
NCT42,OUT019,296.3808700000001
FDE38,OUT049,2129.36156
FDI04,OUT049,2682.2085899999997
NCH54,OUT045,3236.4538000000002
FDT56,OUT049,1840.0381699999998
DRD15,OUT018,3044.76998
FDV58,OUT013,3147.5695
FDP21,OUT049,2740.39951
FDH05,OUT013,2675.45072
FDR10,OUT027,3531.9025500000002
NCP06,OUT045,2286.3572000000004
FDF33,OUT049,1305.7669600000002
DRK37,OUT013,2554.1086699999996
DRH49,OUT045,1470.88536
FDT58,OUT013,2635.3029800000004
FDD41,OUT018,1528.6768000000002
FDP40,OUT018,1726.7523
FDM51,OUT027,3439.3896400000003
FDO45,OUT010,300.00948000000005
FDW33,OUT010,377.97466000000003
FDY24,OUT045,1653.5475900000001
FDB10,OUT010,398.14840000000004
FDM40,OUT035,2476.6761300000003
NCI06,OUT017,3450.2088900000003
FDW12,OUT019,336.2955800000001
FDX48,OUT027,4386.9562000000005
NCW05,OUT027,3498.71242
FDX27,OUT017,1911.54509
DRM37,OUT045,2482.7016200000003
FDA38,OUT045,3137.54921
FDR36,OUT046,2708.9404600000003
FDZ45,OUT046,2500.7448000000004
FDG05,OUT017,2482.53517
FDK28,OUT013,2398.211600000001
FDV47,OUT045,1811.17574
FDN21,OUT045,2663.36645
FDP20,OUT027,3764.0337200000004
FDI35,OUT045,2939.80661
DRY23,OUT013,1459.7665
FDA56,OUT017,1907.98306
FDB09,OUT013,2077.56232
NCO26,OUT027,3186.58538
FDQ49,OUT018,2396.61368
FDI52,OUT027,2429.9036799999994
FDZ44,OUT027,3413.9893700000002
FDZ09,OUT018,2076.5636200000004
FDY03,OUT049,2542.25743
NCG42,OUT017,2255.53066
DRI13,OUT027,3865.3019
FDQ32,OUT013,1963.1778799999997
FDW16,OUT035,2008.7186000000002
FDU27,OUT046,2089.9462
FDR28,OUT010,325.50962
FDQ49,OUT010,377.64176000000003
FDS37,OUT046,2007.5867400000002
FDW26,OUT018,2521.5510500000005
FDX12,OUT018,2315.6524
NCP06,OUT013,2252.63443
FDW45,OUT010,434.36792000000014
NCN30,OUT049,2021.5685400000002
FDN24,OUT049,1591.32858
NCL41,OUT027,2349.14214
FDR02,OUT019,317.32028
FDD09,OUT010,373.28076999999996
FDS33,OUT010,292.21961999999996
FDU22,OUT045,2192.94546
FDI53,OUT013,2344.68128
DRH01,OUT049,2747.9563399999997
FDX32,OUT013,2302.26982
NCP30,OUT018,1085.9198
FDB60,OUT045,2644.6907600000004
FDB14,OUT049,2231.3621200000007
NCP02,OUT035,2183.8572900000004
FDJ10,OUT017,2074.0668699999997
FDG34,OUT046,1649.6526600000002
NCB18,OUT017,1433.3342400000001
FDM16,OUT049,1666.06463
FDW25,OUT018,1960.6811300000002
FDB35,OUT010,243.51635000000002
DRN11,OUT013,2656.30897
FDF41,OUT019,342.5208099999999
FDH16,OUT045,1350.1425299999999
NCQ50,OUT018,2685.03824
DRH23,OUT018,1965.20857
DRJ37,OUT013,2554.10867
DRJ24,OUT027,3776.351020000001
FDY16,OUT035,2484.33283
FDQ27,OUT045,2134.2219
FDZ33,OUT045,2101.69757
FDF29,OUT045,2555.8730399999995
FDA08,OUT049,3106.7559599999995
FDG31,OUT046,1430.8042
FDE34,OUT019,463.66312
NCR30,OUT027,1921.43222
FDV33,OUT035,2880.88331
DRZ24,OUT018,1813.33959
NCL54,OUT035,3340.7513700000004
FDR12,OUT049,2363.4568400000003
NCC54,OUT046,2848.85833
DRN59,OUT013,2008.1193799999996
FDX50,OUT019,317.32027999999997
FDV31,OUT027,4692.9245900000005
NCA29,OUT027,4330.72939
FDW60,OUT049,2259.15927
FDX08,OUT017,2663.36645
DRD49,OUT013,2634.93679
FDD33,OUT046,3038.3117199999997
FDW35,OUT013,1414.39223
FDJ36,OUT017,1527.6448099999998
FDV51,OUT035,2496.5502600000004
FDW36,OUT046,2134.05545
FDH35,OUT046,2471.28315
NCS30,OUT027,3704.145010000001
FDN49,OUT017,2185.98785
FDL08,OUT018,2959.8804800000003
FDI09,OUT013,3561.29762
FDP19,OUT018,1783.7447800000002
FDU21,OUT010,286.16084
NCP41,OUT045,1946.3997200000006
FDY10,OUT013,2538.12947
FDP12,OUT018,1755.34841
NCN26,OUT049,2463.5931599999994
FDK44,OUT013,2473.84648
FDC28,OUT049,1555.87473
FDJ41,OUT027,4287.152780000001
NCT29,OUT035,2244.44509
NCH42,OUT019,362.42823000000004
FDU60,OUT018,2164.98186
FDS02,OUT045,3345.1789400000002
FDC51,OUT046,2359.2290100000005
FDU03,OUT013,2328.0695700000006
FDX39,OUT045,3125.7312600000005
NCY05,OUT010,342.72055
NCL06,OUT027,6288.88048
FDD32,OUT035,2063.58052
NCN41,OUT045,1898.4621199999997
NCX53,OUT049,2192.2130800000004
FDU57,OUT019,305.46904000000006
FDQ23,OUT046,1856.0173700000003
FDQ52,OUT045,4125.26351
FDC14,OUT045,1686.4714000000004
FDY09,OUT035,3556.2042500000002
FDQ28,OUT045,2553.57603
FDV25,OUT046,3217.2121800000004
FDJ07,OUT035,2196.07472
DRB25,OUT049,2282.1626599999995
FDK52,OUT019,369.75203
FDY52,OUT027,1923.5294900000001
FDB28,OUT046,2374.6089899999997
FDT36,OUT035,1701.6849300000001
FDV25,OUT017,3105.35778
NCN07,OUT027,3063.27922
FDC57,OUT017,3879.41686
FDQ03,OUT018,2539.26133
FDU23,OUT017,2546.4186799999998
NCX41,OUT035,2816.36729
NCD06,OUT035,1923.8290999999997
FDW08,OUT045,2023.5326500000003
NCU29,OUT017,2210.0565200000005
NCE06,OUT013,2539.8272599999996
FDV52,OUT010,267.88463
FDB02,OUT017,2985.24746
NCR18,OUT045,1089.1489299999998
FDK16,OUT049,1415.3576400000002
NCQ29,OUT010,459.96792999999997
FDZ01,OUT019,371.1835
FDW27,OUT035,2707.37583
FDD17,OUT018,2947.36344
FDW39,OUT013,2328.0695699999997
DRH59,OUT045,1490.79278
FDS52,OUT013,2280.63132
FDU40,OUT027,4287.15278
NCF54,OUT013,2479.1395899999998
FDH46,OUT045,1511.5990299999999
NCP14,OUT049,1695.8258899999996
FDH50,OUT049,2460.3640299999997
DRF15,OUT010,317.65318
FDV27,OUT027,3439.38964
NCJ06,OUT049,2534.50086
FDN02,OUT018,2380.5679
FDQ51,OUT049,2322.70988
FDQ07,OUT017,3865.9344099999994
FDS45,OUT049,1808.2462199999998
NCJ06,OUT045,1703.4160100000001
FDD36,OUT035,1704.5145799999998
FDY25,OUT045,3086.78196
FDU52,OUT046,2355.1343399999996
DRK47,OUT017,2793.53035
NCL30,OUT017,2152.5646899999997
FDN22,OUT035,2935.24588
NCF30,OUT027,3862.838440000001
FDK03,OUT035,3006.2534499999997
FDT45,OUT017,1459.5334699999999
NCC54,OUT027,4542.8532700000005
FDP08,OUT018,2770.5935400000003
FDU44,OUT046,2836.9737999999998
DRG39,OUT035,2148.07054
FDU32,OUT049,2346.37907
FDY27,OUT049,2206.52778
NCP54,OUT013,2057.45516
NCZ41,OUT049,2210.1563899999996
DRL49,OUT013,2652.24759
FDI05,OUT018,1375.6426700000002
FDY56,OUT045,4014.6075500000006
DRC13,OUT013,2038.6130200000002
NCV29,OUT017,2871.39566
FDR24,OUT049,2129.1951099999997
FDZ34,OUT018,1828.85273
FDP37,OUT035,2173.53739
FDX08,OUT027,4974.3915400000005
FDS57,OUT045,2627.5797000000007
NCG18,OUT049,2552.31101
FDK25,OUT018,2423.14581
FDH53,OUT049,1950.1281999999999
DRI59,OUT018,2409.8298099999997
FDA52,OUT046,2649.5510999999997
FDT20,OUT010,353.34005999999994
FDE36,OUT019,362.79442
FDI24,OUT017,2514.26054
FDB28,OUT018,2824.02399
FDV11,OUT017,2307.59622
FDP01,OUT046,2656.7417400000004
FDD34,OUT027,3531.9025500000002
FDJ50,OUT027,3209.72193
FDZ44,OUT013,1835.71047
DRO59,OUT035,2127.5639
DRB48,OUT045,1086.2859899999999
FDR21,OUT018,2115.0468599999995
NCE42,OUT010,380.67115
FDO23,OUT046,1616.39595
NCE30,OUT018,2747.15738
FDQ22,OUT035,1414.72513
FDY01,OUT045,2197.00684
FDS08,OUT017,2212.28695
FDG28,OUT018,1988.6114400000001
FDQ51,OUT018,1948.7633099999998
FDB05,OUT017,2910.3782499999998
FDO56,OUT049,2777.48457
FDE02,OUT018,1947.2652600000001
FDN45,OUT017,3350.1058600000006
FDS09,OUT013,1624.01936
NCA54,OUT018,2303.23523
FDP09,OUT010,454.34192000000013
